team,abb,region,primary,secondary,tertiary
Atlanta Reign,ATL,Atlantic South,#C4C4C4,#910F1B,#323232
Boston Uprising,BOS,Atlantic North,#174B97,#EFDF00,#000000
Chengdu Hunters,CDH,Pacific East,#FFA000,#161823,#B4926A
Dallas Fuel,DAL,Pacific West,#032340,#0072CE,#9EA2A2
Florida Mayhem,FLA,Atlantic South,#000000,#CF4691,#3DB2E3
Guangzhou Charge,GZC,Pacific East,#122C42,#67A2B2,#0FEFD9
Hangzhou Spark,HZS,Pacific East,#FB7299,#5788CE,#FFFFFF
Houston Outlaws,HOU,Atlantic South,#97D700,#000001,#FFFFFF
London Spitfire,LON,Atlantic North,#59CBE8,#FF8200,#1C2B39
Los Angeles Gladiators,LAG,Pacific West,#3C1053,#FFFFFF,#000006
Los Angeles Valiant,VAL,Pacific West,#1888C6,#FFD100,#FFFFFF
New York Excelsior,NXL,Atlantic North,#171C38,#0F57EA,#FF1C26
Paris Eternal,PAR,Atlantic North,#303D56,#8D042D,#FFAA1D
Philadelphia Fusion,PHI,Atlantic South,#F99E29,#DCDCDC,#000002
San Francisco Shock,SFS,Pacific West,#A5ACAF,#FC4C02,#000003
Seoul Dynasty,SEO,Pacific East,#000004,#AA8A00,#FFFFFF
Shanghai Dragons,SHD,Pacific East,#D22630,#000007,#FCE300
Toronto Defiant,TOR,Atlantic North,#000005,#C10021,#91A1AF
Vancouver Titans,VAN,Pacific West,#09226B,#2FB228,#FFFFFF
Washington Justice,WAS,Atlantic South,#990034,#003768,#FFFFFF